country,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Russia,30,28,28,29,29,29,27,28,28,NULL,NULL
Rwanda,54,53,56,55,54,54,49,53,53,NULL,NULL
Saint Lucia,56,55,55,55,60,,71,71,71,NULL,NULL
Saint Vincent and the Grenadines,59,59,58,58,60,,62,62,62,NULL,NULL
Sao Tome and Principe,47,46,46,46,46,42,42,42,42,NULL,NULL
Saudi Arabia,53,53,49,49,46,52,49,46,44,NULL,NULL
Senegal,45,45,45,45,45,44,43,41,36,NULL,NULL
Serbia,38,39,39,41,42,40,41,42,39,NULL,NULL
Seychelles,66,66,66,60,,55,55,54,52,NULL,NULL
Sierra Leone,33,33,30,30,30,29,31,30,31,NULL,NULL
Singapore,85,85,85,84,84,85,84,86,87,NULL,NULL
Slovakia,49,50,50,50,51,51,50,47,46,NULL,NULL
Slovenia,60,60,60,61,61,60,58,57,61,NULL,NULL
Solomon Islands,42,42,44,39,42,,,,,NULL,NULL
Somalia,12,9,10,9,10,8,8,8,8,NULL,NULL
South Africa,44,44,43,43,45,44,44,42,43,NULL,NULL
South Korea,61,59,57,54,53,54,55,55,56,NULL,NULL
South Sudan,12,12,13,12,11,15,15,14,,NULL,NULL
Spain,62,62,58,57,58,58,60,59,65,NULL,NULL
Sri Lanka,38,38,38,38,36,37,38,37,40,NULL,NULL
Sudan,16,16,16,16,14,12,11,11,13,NULL,NULL
Suriname,38,44,43,41,45,36,36,36,37,NULL,NULL
Sweden,85,85,85,84,88,89,87,89,88,NULL,NULL
Switzerland,85,85,85,85,86,86,86,85,86,NULL,NULL
Syria,14,13,13,14,13,18,20,17,26,NULL,NULL
Taiwan,65,65,63,63,61,62,61,61,61,NULL,NULL
Tajikistan,25,25,25,21,25,26,23,22,22,NULL,NULL
Tanzania,38,37,36,36,32,30,31,33,35,NULL,NULL
Thailand,36,36,36,37,35,38,38,35,37,NULL,NULL
Timor-Leste,40,38,35,38,35,28,28,30,33,NULL,NULL
Togo,29,29,30,32,32,32,29,29,30,NULL,NULL
Trinidad and Tobago,40,40,41,41,35,39,38,38,39,NULL,NULL
Tunisia,44,43,43,42,41,38,40,41,41,NULL,NULL
Turkey,40,39,41,40,41,42,45,50,49,NULL,NULL
Turkmenistan,19,19,20,19,22,18,17,17,17,NULL,NULL
Uganda,27,28,26,26,25,25,26,26,29,NULL,NULL
Ukraine,33,30,32,30,29,27,26,25,26,NULL,NULL
United Arab Emirates,71,71,70,71,66,70,70,69,68,NULL,NULL
United Kingdom,77,77,80,82,81,81,78,76,74,NULL,NULL
United States of America,67,69,71,75,74,76,74,73,73,NULL,NULL
Uruguay,71,71,70,70,71,74,73,73,72,NULL,NULL
Uzbekistan,26,25,23,22,21,19,18,17,17,NULL,NULL
Vanuatu,43,46,46,43,,,,,,NULL,NULL
Venezuela,15,16,18,18,17,17,19,20,19,NULL,NULL
Vietnam,36,37,33,35,33,31,31,31,31,NULL,NULL
Yemen,15,15,14,16,14,18,19,18,23,NULL,NULL
Zambia,33,34,35,37,38,38,38,38,37,NULL,NULL
Zimbabwe,24,24,22,22,22,21,21,21,20,NULL,NULL
