country,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Myanmar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Netherlands,NULL,82.4,82.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
New Zealand,NULL,76.7,77.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Norway,NULL,78.1,78.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Oman,NULL,63.6,64.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pakistan,NULL,51.4,51.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Papua New Guinea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Peru,NULL,61.7,61.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Philippines,NULL,61.9,62.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Portugal,NULL,70.4,70.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Qatar,NULL,72.9,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Romania,NULL,64.4,63.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Russia,NULL,66.7,65.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Saudi Arabia,NULL,70,67.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Singapore,NULL,84.8,83.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Africa,NULL,62.4,60.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Korea,NULL,79.6,78.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Spain,NULL,75.3,74.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sri Lanka,NULL,57.1,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Switzerland,NULL,82.3,82.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Syria,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Taiwan,NULL,80.2,79.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Thailand,NULL,68.1,67.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Timor-Leste,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Turkey,NULL,62.1,61.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
United Kingdom,NULL,81.2,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
United States ,NULL,83.7,85.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Venezuela,NULL,41.8,43.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Vietnam,NULL,61.5,58.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Yemen,NULL,35.5,36.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
