Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
France,0.6810876,0.6029928,0.5549415,0.4487441,0.3005685,0.1067064,-0.0953591,0.2790776,0.0291557,0.2993822,0.3125098
French Guiana,0.1917455,0.1930259,0.2150823,0.2182771,0.527634,0.5689548,0.5509571,0.4997613,0.5206324,0.2612188,0.3325475
Gabon,0.2992792,0.3848909,0.2932914,0.3301027,0.1495428,0.021187,-0.104911,-0.1030248,-0.2538044,-0.0742617,-0.0771416
"Gambia, The",0.065417,-0.0002706,-0.0007788,-0.0486364,-0.1514007,0.0195886,-0.4344123,-0.0840129,-0.074431,0.2247214,0.2453408
Georgia,-0.7183209,-0.656952,-0.680454,-0.4413662,-0.3215075,-0.4660819,-0.3132915,-0.3707961,-0.4415736,-0.4883826,-0.4307931
Germany,0.7968345,0.8422185,0.7756213,0.9279839,0.9251865,0.6998243,0.6813634,0.5877215,0.5912753,0.5743086,0.6710114
Ghana,0.0260932,0.1671121,0.130695,0.0606061,-0.106808,-0.0320993,-0.1309286,0.0918345,-0.0255168,0.1344119,0.1258658
Greece,-0.1272069,-0.0986952,-0.2172487,-0.1713417,-0.140446,-0.2302524,-0.1215992,-0.0735726,0.1659438,0.1817382,0.1251008
Greenland,1.645201,1.940006,1.934407,1.931953,1.924541,1.943138,1.965062,1.923353,1.929881,1.883894,1.913187
Grenada,0.51838,0.3601154,0.492649,0.4261743,0.7745689,0.7907085,1.018932,1.009161,0.9854752,0.9535552,1.034534
Guam,0.3958711,0.791546,0.7809176,0.7984855,0.7501333,0.8079031,0.6752751,0.699833,0.6994919,0.8925463,0.936887
Guatemala,-0.8529245,-0.7441414,-0.6338202,-0.6741562,-0.6555635,-0.6550602,-0.5425926,-0.6506749,-0.5383536,-0.5735922,-0.4291327
Guinea,-1.687079,-1.388054,-1.287012,-1.229852,-0.9552428,-0.3869883,-0.3938748,-0.7009969,-0.8840864,-0.8432462,-0.6370652
Guinea-Bissau,-0.6909543,-0.753626,-0.9652959,-0.8999276,-0.7064517,-0.5182164,-0.4426939,-0.4986393,-0.6855602,-0.5580111,-0.598215
Guyana,-0.4589657,-0.4342825,-0.4996141,-0.4566067,-0.1360976,-0.1396508,-0.0260627,-0.0430738,-0.1877606,-0.2464192,-0.1459536
Haiti,-0.9403154,-0.9901676,-0.7880927,-0.6310154,-0.6436273,-0.6708382,-0.7437881,-0.6744812,-0.6397613,-0.891515,-1.043329
Honduras,-0.4969096,-0.3904354,-0.3501156,-0.4386116,-0.534084,-0.4689144,-0.4333121,-0.5649181,-0.5307975,-0.5751516,-0.5446041
Hong Kong,0.9358106,0.9485961,1.006289,0.9228683,1.153229,1.046295,0.7508071,0.8294839,0.7835555,-0.222178,0.0922063
Hungary,0.6857837,0.7432541,0.6757948,0.7966461,0.6699048,0.7462977,0.6546786,0.806563,0.7471759,0.7721581,0.863838
Iceland,1.022254,1.24401,1.245032,1.287134,1.246975,1.308164,1.361624,1.348309,1.40639,1.639301,1.394177
India,-1.277984,-1.326795,-1.28931,-1.229174,-0.997912,-0.9484934,-0.9538398,-0.7648019,-0.9870132,-0.7708004,-0.8619818
Indonesia,-0.8539162,-0.7701142,-0.5932628,-0.5192646,-0.416824,-0.6150607,-0.3729524,-0.4979034,-0.5459081,-0.4934046,-0.5002089
"Iran, Islamic Rep.",-1.630592,-1.421768,-1.323926,-1.249687,-0.8749877,-0.9257017,-0.8130754,-0.934016,-1.347935,-1.706922,-1.667853
Iraq,-2.239267,-1.846984,-1.93405,-2.01139,-2.480338,-2.260352,-2.313588,-2.307103,-2.528422,-2.603781,-2.528343
Ireland,1.020165,0.9489989,0.9410727,0.9010757,1.052991,0.9084555,0.8478189,1.002435,1.021112,0.9663891,0.9751874
Israel,-1.341152,-1.201318,-1.078904,-1.101285,-1.039735,-1.094913,-0.7945364,-0.887956,-0.9116703,-0.7933716,-0.8282074
Italy,0.4739237,0.5012074,0.5082175,0.4954992,0.4581654,0.3759197,0.3694153,0.3068212,0.3423838,0.4043851,0.4400665
Jamaica,-0.4295415,-0.0629833,0.1205081,0.1823744,0.0244925,0.0964845,0.3076839,0.3092474,0.432927,0.3973095,0.2707812
Japan,0.8793532,0.995092,0.9484429,1.019142,0.9685974,1.065128,0.9829442,1.112167,1.049072,1.031847,1.038876
"Jersey, Channel Islands",..,1.480601,1.476132,1.485057,1.464952,1.52962,1.318669,1.273878,1.264784,1.280697,1.336372
Jordan,-0.3124925,-0.5135623,-0.5239776,-0.6063153,-0.5400255,-0.6057786,-0.4923984,-0.4516253,-0.3888326,-0.2619681,-0.3221407
Kazakhstan,0.5229718,-0.3385706,-0.408455,-0.4024739,0.0360182,-0.0350003,0.0084575,0.0288013,-0.0452636,-0.1684883,-0.2600716
Kenya,-1.165524,-1.244791,-1.323441,-1.166931,-1.282247,-1.244406,-1.354791,-1.131922,-1.184091,-1.101751,-1.003641
Kiribati,1.422732,1.302488,1.290351,1.283926,0.8018658,0.8435606,0.8732361,0.8814256,1.023675,1.128833,1.081049
"Korea, Dem. People's Rep.",-0.2965621,-0.2518262,-0.0128764,-0.4415541,-1.134743,-1.153405,-0.6807607,-0.5021606,-0.347793,-0.3175711,-0.3980415
South Korea,0.3258958,0.4124956,0.2671033,0.2785786,0.1085688,0.1610141,0.163469,0.385621,0.6370728,0.5512064,0.5591969
Kosovo,-1.044821,-1.042147,-1.038502,-0.9661466,-0.3407745,-0.199357,-0.282407,-0.2460999,-0.673299,-0.3316903,-0.3075437
Kuwait,0.4519888,0.3111027,0.2036062,0.1660556,0.1490065,-0.2134203,-0.0496832,-0.0458655,0.1015981,0.1926405,0.23795
Kyrgyz Republic,-1.039652,-1.098031,-0.9112514,-0.9117738,-0.8046157,-0.8824379,-0.6468619,-0.375253,-0.5388672,-0.2417716,-0.4277135
Lao PDR,-0.282063,-0.0580072,0.033739,0.0674439,0.498693,0.541362,0.5322913,0.3966877,0.4081254,0.5163149,0.6778482
Latvia,0.527854,0.3200021,0.4536267,0.5936353,0.4872684,0.4437472,0.4790692,0.4622171,0.4073735,0.4434652,0.4600297
Lebanon,-1.625015,-1.558288,-1.664812,-1.690353,-1.697941,-1.702587,-1.618973,-1.627562,-1.629085,-1.672521,-1.645608
Lesotho,0.4567754,0.3839408,0.2741991,0.3380743,-0.332812,-0.3084288,-0.2364652,-0.1866985,-0.1785933,-0.4215104,-0.334338
Liberia,-0.4685253,-0.4273703,-0.4844765,-0.4755071,-0.6154496,-0.8180257,-0.4374078,-0.333085,-0.2117113,-0.3314337,-0.3696544
Libya,0.0280884,-1.287379,-1.58696,-1.844077,-2.353407,-2.196628,-2.28333,-2.362226,-2.444217,-2.568074,-2.47725
Liechtenstein,1.544087,1.49058,1.3892,1.397172,1.458862,1.45784,1.477927,1.481363,1.475574,1.615636,1.698112
